step,alive,p_survive
0,200,1.0
1,200,1.0
2,200,1.0
3,200,1.0
4,200,1.0
5,200,1.0
6,200,1.0
7,200,1.0
8,200,1.0
9,200,1.0
10,200,1.0
11,200,1.0
12,200,1.0
13,200,1.0
14,200,1.0
15,200,1.0
16,200,1.0
17,200,1.0
18,200,1.0
19,200,1.0
20,200,1.0
21,200,1.0
22,200,1.0
23,200,1.0
24,200,1.0
25,200,1.0
26,200,1.0
27,200,1.0
28,200,1.0
29,200,1.0
30,200,1.0
31,200,1.0
32,200,1.0
33,199,0.995
34,199,0.995
35,199,0.995
36,199,0.995
37,199,0.995
38,199,0.995
39,199,0.995
40,199,0.995
41,199,0.995
42,198,0.99
43,198,0.99
44,198,0.99
45,198,0.99
46,198,0.99
47,198,0.99
48,197,0.985
49,196,0.98
50,196,0.98
51,196,0.98
52,196,0.98
53,196,0.98
54,196,0.98
55,195,0.975
56,195,0.975
57,195,0.975
58,195,0.975
59,195,0.975
60,195,0.975
61,195,0.975
62,194,0.97
63,194,0.97
64,193,0.965
65,193,0.965
66,193,0.965
67,191,0.955
68,191,0.955
69,191,0.955
70,191,0.955
71,191,0.955
72,190,0.95
73,190,0.95
74,190,0.95
75,190,0.95
76,190,0.95
77,190,0.95
78,190,0.95
79,190,0.95
80,190,0.95
81,190,0.95
82,190,0.95
83,190,0.95
84,190,0.95
85,190,0.95
86,190,0.95
87,190,0.95
88,190,0.95
89,190,0.95
90,190,0.95
91,190,0.95
92,190,0.95
93,190,0.95
94,190,0.95
95,190,0.95
96,190,0.95
97,189,0.945
98,189,0.945
99,189,0.945
100,189,0.945
101,189,0.945
102,189,0.945
103,189,0.945
104,189,0.945
105,189,0.945
106,189,0.945
107,189,0.945
108,189,0.945
109,188,0.94
110,188,0.94
111,188,0.94
112,188,0.94
113,188,0.94
114,188,0.94
115,188,0.94
116,188,0.94
117,188,0.94
118,188,0.94
119,188,0.94
120,188,0.94
121,188,0.94
122,188,0.94
123,188,0.94
124,188,0.94
125,188,0.94
126,188,0.94
127,188,0.94
128,188,0.94
129,187,0.935
130,187,0.935
131,187,0.935
132,187,0.935
133,187,0.935
134,186,0.93
135,186,0.93
136,186,0.93
137,186,0.93
138,186,0.93
139,186,0.93
140,186,0.93
141,186,0.93
142,186,0.93
143,186,0.93
144,186,0.93
145,186,0.93
146,186,0.93
147,186,0.93
148,186,0.93
149,185,0.925
150,185,0.925
151,185,0.925
152,185,0.925
153,185,0.925
154,185,0.925
155,185,0.925
156,185,0.925
157,185,0.925
158,185,0.925
159,185,0.925
160,185,0.925
161,185,0.925
162,185,0.925
163,185,0.925
164,185,0.925
165,185,0.925
166,185,0.925
167,185,0.925
168,185,0.925
169,185,0.925
170,185,0.925
171,185,0.925
172,185,0.925
173,185,0.925
174,185,0.925
175,185,0.925
176,185,0.925
177,185,0.925
178,185,0.925
179,185,0.925
180,185,0.925
181,185,0.925
182,185,0.925
183,185,0.925
184,185,0.925
185,185,0.925
186,185,0.925
187,185,0.925
188,185,0.925
189,185,0.925
190,185,0.925
191,185,0.925
192,185,0.925
193,185,0.925
194,185,0.925
195,185,0.925
196,185,0.925
197,185,0.925
198,185,0.925
199,184,0.92
200,184,0.92
201,184,0.92
202,184,0.92
203,184,0.92
204,184,0.92
205,184,0.92
206,184,0.92
207,184,0.92
208,184,0.92
209,184,0.92
210,184,0.92
211,184,0.92
212,184,0.92
213,184,0.92
214,184,0.92
215,184,0.92
216,184,0.92
217,184,0.92
218,184,0.92
219,184,0.92
220,184,0.92
221,184,0.92
222,184,0.92
223,183,0.915
224,183,0.915
225,183,0.915
226,183,0.915
227,183,0.915
228,183,0.915
229,182,0.91
230,182,0.91
231,182,0.91
232,181,0.905
233,181,0.905
234,181,0.905
235,180,0.9
236,179,0.895
237,178,0.89
238,178,0.89
239,177,0.885
240,177,0.885
241,176,0.88
242,176,0.88
243,176,0.88
244,175,0.875
245,175,0.875
246,175,0.875
247,175,0.875
248,175,0.875
249,175,0.875
250,175,0.875
251,175,0.875
252,173,0.865
253,173,0.865
254,173,0.865
255,173,0.865
256,172,0.86
257,172,0.86
258,172,0.86
259,172,0.86
260,172,0.86
261,172,0.86
262,171,0.855
263,171,0.855
264,171,0.855
265,171,0.855
266,171,0.855
267,171,0.855
268,171,0.855
269,171,0.855
270,171,0.855
271,171,0.855
272,171,0.855
273,171,0.855
274,170,0.85
275,170,0.85
276,170,0.85
277,169,0.845
278,169,0.845
279,169,0.845
280,169,0.845
281,169,0.845
282,169,0.845
283,169,0.845
284,169,0.845
285,168,0.84
286,168,0.84
287,168,0.84
288,168,0.84
289,168,0.84
290,167,0.835
291,166,0.83
292,166,0.83
293,166,0.83
294,166,0.83
295,166,0.83
296,165,0.825
297,165,0.825
298,164,0.82
299,163,0.815
